,,Social,,,,,,,,,,Website,Analytics (Ahref),,,Audences,,,,Functionalities,,,,,,,,,,,,,Website Content for Dentist,,,,,,Patient Content,,
Greece,Hellenic Dental Association (Ελληνική Οδοντιατρική Ομοσπονδία),,,,,,,,,,,eoo.gr,46,"8,800",257,Yes,Yes,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,NO,NO,NO,NO,,,,,,,,,
Hungary,Hungarian Dental Association (Magyar Fogorvosok Egyesülete),,,,,,,,,,,mfe-hda.hu,27,"4,000",73,Yes,Yes,NO,NO,Yes,NO,NO,Yes,NO,Yes,NO,NO,Yes,Yes,NO,NO,NO,,,,,,,,,
Iceland,Icelandic Dental Association (Tannlæknafélag Íslands),,,,,,,,,,,tannsi.is,31,514,64,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,NO,Yes,NO,Yes,NO,NO,,,,,,,,,
Ireland,Irish Dental Association,,,,,,,,,,,dentist.ie,60,"4,400",489,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
Italy,Italian Dental Association (Associazione Italiana Odontoiatri),,,,,,,,,,,aio.it,52,"23,000",356,Yes,Yes,NO,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,NO,NO,Yes,,,,,,,,,
Latvia,Latvian Dental Association (Latvijas Zobārstu asociācija),,,,,,,,,,,lza-zobi.lv,26,"12,000",49,Yes,Yes,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,Yes,Yes,Yes,,,,,,,,,
Lithuania,Lithuanian Dental Chamber (Lietuvos Respublikos Odontologų Rūmai),,,,,,,,,,,odontologurumai.lt,43,"1,500",226,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,NO,,,,,,,,,
Luxembourg,Luxembourg Dental Association (Société Luxembourgeoise d'Odontologie),,,,,,,,,,,slo.lu,25,90,25,Yes,Yes,NO,NO,NO,NO,NO,Yes,NO,NO,NO,NO,Yes,NO,NO,NO,NO,,,,,,,,,
Malta,Maltese Dental Association,,,,,,,,,,,dam.com.mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Dutch Dental Association (Koninklijke Nederlandse Maatschappij tot bevordering der Tandheelkunde),,,,,,,,,,,knmt.nl,78,"553,000","2,900",Yes,Yes,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,Yes,NO,,,,,,,,,
Norway,Norwegian Dental Association (Den norske tannlegeforening),,,,,,,,,,,tannlegeforeningen.no,64,"46,000",418,Yes,Yes,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,NO,NO,NO,,,,,,,,,
Poland,Polish Dental Society (Polskie Towarzystwo Stomatologiczne),,,,,,,,,,,pts.net.pl,53,"24,000",264,Yes,Yes,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,NO,NO,NO,,,,,,,,,
Portugal,Portuguese Dental Association (Ordem dos Médicos Dentistas),,,,,,,,,,,omd.pt,59,"10,000",723,Yes,Yes,Yes,NO,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,NO,,,,,,,,,
Romania,Romanian Dental Association (Asociația Medicilor Stomatologi din România),,,,,,,,,,,dental.ro,30,756,131,Yes,Yes,NO,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,NO,NO,NO,NO,,,,,,,,,
Russia,Russian Dental Association (Стоматологическая Ассоциация России),,,,,,,,,,,https://e-stomatology.ru/,63,"118,000",727,Yes,Yes,NO,Yes,Yes,NO,NO,NO,NO,Yes,NO,Yes,Yes,NO,NO,NO,Yes,,,,,,,,,
Serbia,Serbian Dental Society (Srpsko lekarsko društvo - Stomatološka sekcija),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Slovak Chamber of Dentists (Slovenská komora zubných lekárov),,,,,,,,,,,skzl.sk,52,"2,400",257,Yes,Yes,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,NO,,,,,,,,,
Slovenia,Slovenian Dental Association (Slovensko Zobozdravstveno Društvo),,,,,,,,,,,szd.si,52,"706,000",490,Yes,Yes,NO,NO,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,NO,NO,NO,NO,,,,,,,,,
Spain,Spanish Dental Association (Consejo General de Colegios de Odontólogos y Estomatólogos de España),,,,,,,,,,,consejodentistas.es,71,"3,800,000","1,400",Yes,Yes,Yes,NO,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,NO,NO,Yes,,,,,,,,,
Sweden,Swedish Dental Association (Sveriges Tandläkarförbund),,,,,,,,,,,tandlakarforbundet.se,62,"5,800",590,Yes,Yes,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,NO,NO,NO,,,,,,,,,
Switzerland,Swiss Dental Association (Schweizerische Zahnärzte-Gesellschaft),,,,,,,,,,,ssO.ch,76,"354,000","1,500",Yes,Yes,Yes,NO,Yes,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,Yes,,,,,,,,,
Turkey,Turkish Dental Association (Türk Dişhekimleri Birliği),,,,,,,,,,,tdb.org.tr,64,"84,000",686,Yes,Yes,Yes,NO,Yes,NO,Yes,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
Ukraine,Ukrainian Dental Association (Українська стоматологічна асоціація),,,,,,,,,,,udenta.org.ua,13,"4,100",36,Yes,Yes,NO,NO,Yes,NO,NO,NO,NO,Yes,NO,Yes,Yes,NO,NO,NO,NO,,,,,,,,,
United Kingdom,British Dental Association,,,,,,,,,,,bda.org,76,"108,000","3,500",Yes,Yes,NO,Yes,Yes,Yes,NO,Yes,NO,Yes,NO,Yes,Yes,Yes,Yes,NO,NO,,,,,,,,,
